"music_id","title","artist","album_cover","emotion_genre"
87,"I Ain't Worried","OneRepublic","https://cdnimg.melon.co.kr/cm2/album/images/109/67/172/10967172_20220525095420_500.jpg/melon/resize/120/quality/80/optimize","응원"
88,"오르트구름","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg/melon/resize/120/quality/80/optimize","응원"
89,"ANTIFRAGILE","LE SSERAFIM (르세라핌)","https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize","응원"
90,"시작","가호 (Gaho)","https://cdnimg.melon.co.kr/cm2/album/images/103/81/712/10381712_20200131110358_500.jpg/melon/resize/120/quality/80/optimize","응원"
91,"아주 NICE","세븐틴 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm/album/images/026/95/228/2695228_500.jpg/melon/resize/120/quality/80/optimize","응원"
92,"안녕 (Hello)","조이 (JOY)","https://cdnimg.melon.co.kr/cm2/album/images/106/14/899/10614899_20210531150225_500.jpg/melon/resize/120/quality/80/optimize","응원"
93,"흰수염고래","YB (윤도현 밴드)","https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/120/quality/80/optimize","응원"
94,"CHEER UP","TWICE (트와이스)","https://cdnimg.melon.co.kr/cm/album/images/026/81/333/2681333_500.jpg/melon/resize/120/quality/80/optimize","응원"
95,"행복했던 날들이었다","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/102/31/033/10231033_500.jpg/melon/resize/120/quality/80/optimize","응원"
96,"라일락","아이유","https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg/melon/resize/120/quality/80/optimize","응원"
97,"내가 제일 잘 나가","2NE1","https://cdnimg.melon.co.kr/cm/album/images/013/15/551/1315551_500.jpg/melon/resize/120/quality/80/optimize","응원"
98,"형 (兄)","노라조","https://cdnimg.melon.co.kr/cm/album/images/008/62/952/862952_500.jpg/melon/resize/120/quality/80/optimize","응원"
99,"Viva La Vida","Coldplay","https://cdnimg.melon.co.kr/cm/album/images/004/49/451/449451_500.jpg/melon/resize/120/quality/80/optimize","응원"
100,"SMILEY (Feat. BIBI)","YENA (최예나)","https://cdnimg.melon.co.kr/cm2/album/images/108/42/611/10842611_20220117110002_500.jpg/melon/resize/120/quality/80/optimize","응원"
101,"어제보다 슬픈 오늘","우디 (Woody)","https://cdnimg.melon.co.kr/cm2/album/images/117/56/010/11756010_20250331135525_500.jpg/melon/resize/120/quality/80/optimize","위로"
102,"청춘만화","이무진","https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg/melon/resize/120/quality/80/optimize","위로"
103,"Never Ending Story","아이유","https://cdnimg.melon.co.kr/cm2/album/images/118/31/781/11831781_20250526162725_500.jpg/melon/resize/120/quality/80/optimize","위로"
104,"HAPPY","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","위로"
105,"천상연","이창섭","https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/120/quality/80/optimize","위로"
106,"한 페이지가 될 수 있게","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize","위로"
107,"소나기","이클립스 (ECLIPSE)","https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize","위로"
108,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악뮤)","https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/120/quality/80/optimize","위로"
109,"그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))","너드커넥션 (Nerd Connection)","https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize","위로"
110,"Love wins all","아이유","https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize","위로"
111,"주저하는 연인들을 위해","잔나비","https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/120/quality/80/optimize","위로"
112,"너의 모든 순간","성시경","https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize","위로"
113,"모든 날, 모든 순간 (Every day, Every Moment)","폴킴","https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize","위로"
114,"인사","범진","https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/120/quality/80/optimize","위로"
115,"나무","카더가든","https://cdnimg.melon.co.kr/cm/album/images/102/74/611/10274611_500.jpg/melon/resize/120/quality/80/optimize","위로"
116,"너와의 모든 지금","재쓰비 (JAESSBEE)","https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/120/quality/80/optimize","위로"
117,"yours","데이먼스 이어 (Damons year)","https://cdnimg.melon.co.kr/cm/album/images/102/71/978/10271978_500.jpg/melon/resize/120/quality/80/optimize","위로"
118,"미안해 미워해 사랑해","Crush","https://cdnimg.melon.co.kr/cm2/album/images/114/49/278/11449278_20240322170237_500.jpg/melon/resize/120/quality/80/optimize","위로"
119,"사건의 지평선","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize","위로"
120,"사랑할 수밖에","볼빨간사춘기","https://cdnimg.melon.co.kr/cm2/album/images/113/82/496/11382496_20231211180054_500.jpg/melon/resize/120/quality/80/optimize","위로"
121,"숲","최유리","https://cdnimg.melon.co.kr/cm2/album/images/110/36/283/11036283_20220823181214_500.jpg/melon/resize/120/quality/80/optimize","위로"
122,"희재","성시경","https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg/melon/resize/120/quality/80/optimize","위로"
123,"어른","Sondia","https://cdnimg.melon.co.kr/cm/album/images/101/52/984/10152984_500.jpg/melon/resize/120/quality/80/optimize","위로"
124,"그리워하다","비투비","https://cdnimg.melon.co.kr/cm/album/images/101/02/658/10102658_500.jpg/melon/resize/120/quality/80/optimize","위로"
125,"너였다면","정승환","https://cdnimg.melon.co.kr/cm/album/images/026/87/963/2687963_500.jpg/melon/resize/120/quality/80/optimize","위로"
126,"밤편지","아이유","https://cdnimg.melon.co.kr/cm/album/images/100/47/890/10047890_500.jpg/melon/resize/120/quality/80/optimize","위로"
127,"응급실","izi","https://cdnimg.melon.co.kr/cm/album/images/000/48/736/48736_500.jpg/melon/resize/120/quality/80/optimize","위로"
128,"오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)","마크툽 (MAKTUB)","https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg/melon/resize/120/quality/80/optimize","위로"
129,"눈사람","정승환","https://cdnimg.melon.co.kr/cm/album/images/101/36/251/10136251_500.jpg/melon/resize/120/quality/80/optimize","위로"
130,"첫눈처럼 너에게 가겠다","에일리(Ailee)","https://cdnimg.melon.co.kr/cm/album/images/100/29/181/10029181_500.jpg/melon/resize/120/quality/80/optimize","위로"
131,"늦은 밤 너의 집 앞 골목길에서","노을","https://cdnimg.melon.co.kr/cm2/album/images/103/48/811/10348811_500.jpg/melon/resize/120/quality/80/optimize","위로"
132,"거리에서","성시경","https://cdnimg.melon.co.kr/cm/album/images/003/28/396/328396_500.jpg/melon/resize/120/quality/80/optimize","위로"
133,"파이팅 해야지 (Feat. 이영지)","부석순 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize","위로"
134,"이 사랑","다비치","https://cdnimg.melon.co.kr/cm/album/images/026/69/778/2669778_500.jpg/melon/resize/120/quality/80/optimize","위로"
135,"소녀","오혁","https://cdnimg.melon.co.kr/cm/album/images/026/52/150/2652150_500.jpg/melon/resize/120/quality/80/optimize","위로"
136,"물론","허각","https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize","위로"
137,"너의 번호를 누르고 (Prod. 영화처럼)","#안녕","https://cdnimg.melon.co.kr/cm2/album/images/103/59/126/10359126_500.jpg/melon/resize/120/quality/80/optimize","위로"
138,"너를 만나","폴킴","https://cdnimg.melon.co.kr/cm/album/images/102/17/134/10217134_500.jpg/melon/resize/120/quality/80/optimize","위로"
